AAAI-19 Conference Committee:
Peter Stone (University of Texas at Austin, USA
Pascal Van Hentenryck (Georgia Institute of Technology, USA
Zhi-Hua Zhou (Nanjing University, China
Karen Myers (SRI International, USA
Michael Wollowski (Rose-Hulman Institute of Technology, USA
Nate Derbinsky (Northeastern University, USA
Kevin Leyton-Brown (University of British Columbia, Canada
Milind Tambe (University of Southern California, USA
Eugene Freuder (University College Cork, Ireland
David Aha (Naval Research Laboratory, USA
Judy Goldsmith (University of Kentucky, USA
Monica Anderson (University of Alabama, USA
William Yeoh (Washington University in St. Louis, USA
James Kwok (Hong Kong University of Science and Technology, Hong Kong
Matthew Taylor (Washington State University, USA
Min-Ling Zhang (Southeast University, China
Daniele Magazzeni (King’s College London, UK
Laura Hiatt (Naval Research Laboratory, USA
Nir Lipovetzky (University of Melbourne, Australia
Yang Yu (Nanjing University, China
Sriraam Natarajan (University of Texas, Dallas, USA
Nathan Sturtevant (University of Alberta, Canada
William Yeoh (New Mexico State University, USA
Brent Venable (Tulane University, USA
Sheila Tejada (University of Southern California, USA
John Dickerson (University of Maryland, USA
Chris Amato (Northeastern University, USA
Rediet Abebe (Cornell University, USA
Emmanuel Johnson (USC/Institue for Creative Technolgies, USA
Kiri Wagstaff (Jet Propulsion Laboratory, USA
Marie desJardins (Simmons College, USA
Barry O’Sullivan (University College Cork, Ireland
Blai Bonet (Universidad Simón Bolívar, Venezuela
Peng Zhao (Nanjing University, China
AAAI-19 Area Chairs:
Rada Mihalcea (University of Michigan, USA
Roberto Navigli (Sapienza Universita’ di Roma, Italy
Hwee Tou Ng (National University of Singapore, Singapore
Alexandru Niculescu-Mizil (NEC Laboratories America, USA
Dino Pedreschi (University of Pisa, Italy
David Poole (University of British Columbia, Canada
Pascal Poupart (University of Waterloo, Canada
Doina Precup (McGill University, Canada
Iyad Rahwan (Massachusetts Institute of Technology, USA
Gabi Roeger (University of Basel, Switzerland
Paul Rosenbloom (University of Southern California, USA
Francesca Rossi (IBM, USA
Dan Roth (University of Pennsylvania, USA
Volker Roth (University of Basel, Switzerland
Sivan Sabato (Ben-Gurion University of the Negev, Israel
Scott Sanner (University of Toronto, Canada
Dale Schuurmans (Google / University of Alberta, Canada
Fei Sha (Google Research, USA
Stephen Smith (Carnegie Mellon University, USA
Le Song (Ant Financial, China/Georgia Institute of Technology, USA
Nathan Sturtevant (University of Alberta, Canada
Masashi Sugiyama (RIKEN/The University of Tokyo, Japan
Csaba Szepesvari (DeepMind/University of Alberta, Canada
Milind Tambe (University of Southern California, USA
Dacheng Tao (The University of Sydney, Australia
James Tin-Yau Kwok (The Hong Kong University of Science and Technology, China
Kai Ming Ting (Federation University, Australia
Willem van Hoeve (Carnegie Mellon University, USA
William Yang Wang (University of California, Santa Barbara, USA
Jianxin Wu (Nanjing University, China
Shuicheng Yan (National University of Singapore, Singapore
Qiang Yang (The Hong Kong University of Science and Technology, China
Jieping Ye (Didi Chuxing, China / University of Michigan, USA
Yang Yu (Nanjing University, China
Kun Zhang (Carnegie Mellon University, USA
Mengjie Zhang (Victoria University of Wellington, New Zealand
Min-Ling Zhang (Southeast University, China
Tong Zhang (The Hong Kong University of Science and Technology, China
Weixiong Zhang (Washington University in St. Louis, USA
Yu Zheng (JD.COM, China
Jun Zhu (Tsinghua University, China
Xiaojin Zhu (University of Wisconsin-Madison, USA
Shlomo Zilberstein (University of Massachusetts Amherst, USA
Chengqing Zong (Institute of Automation, Chinese Academy of Sciences, China
AAAI-19 Senior Program Committee:
Sherief Abdallah (British University in Dubai, United Arab Emirates
Naoki Abe (IBM Research, USA
Christopher Amato (Northeastern University, USA
Jose Luis Ambite (USC Information Sciences Institute, USA
Bo An (Nanyang Technological University, Singapore
Xiang Bai (Huazhong University of Science and Technology, China
Elias Bareinboim (Purdue University, USA
Vaishak Belle (University of Edinburgh, Scotland
Marc G. Bellemare (Google Brain, Canada
Sara Bernadini (Royal Holloway University of London, UK
Aurelie Beynier (Sorbonne Université, France
Arnab Bhattacharyya (National University of Singapore, Singapore
Chiranjib Bhattacharyya (Indian Institute of Science, India
Meghyn Bienvenu (University of Montpellier, France
Albert Bifet (Telecom ParisTech, France
Lidong Bing (Alibaba DAMO Academy, China
Eduardo Blanco (University of North Texas, USA
Hendrik Blockeel (KU Leuven, Belgium
Blai Bonet (Universidad Simón Bolívar, Venezuela
Richard Booth (Cardiff University, UK
Adi Botea (IBM Research, Ireland
Ronen Brafman (Ben-Gurion University, Israel
Felix Brandt (TU Munich, Germany
Ulf Brefeld (Leuphana University of Lüneburg, Germany
Will Browne (Victoria University of Wellington, New Zealand
Wray Buntine (Monash University, Australia
Ruichu Cai (Guangdong University of Technology, China
Brais Cancela (Universidade da Coruña, Spain
Longbing Cao (University of Technology Sydney, Australia
Manuel Cebrian (MIT Media Lab, USA
Asli Celikyilmaz (Microsoft Research, USA
Georgios Chalkiadakis (Technical University of Crete, Greece
Chia-Hui Chang (National Central University, Taiwan
Kai-Wei Chang (University of California, Los Angeles, USA
Shiyu Chang (IBM Research, USA
Nitesh Chawla (University of Nortre Dame, USA
Sanjay Chawla (Qatar Computing Research Institute, Qatar
Changyou Chen (University at Buffalo, USA
Jianshu Chen (Tencent AI Lab, USA
Xue-Wen Chen (Didi Chuxing, China
Xuewen Chen (Didi Chuxing, China
Li Cheng (University of Alberta, Canada
William Cheung (Hong Kong Baptist University, Hong Kong
Jacob Crandall (Brigham Young University, USA
Bernardo Cuenca Grau (University of Oxford, UK
Peng Cui (Tsinghua University, China
Bo Dai (Google Brain, USA
Hanjun Dai (Georgia Institute of Technology, USA
Sanmay Das (Washington University in St. Louis, USA
Sanjoy Dasgupta (University of California, San Diego, USA
Grant Dick (University of Otago, New Zealand
John Dickerson (University of Maryland, USA
Wei Ding (University of Massachusetts Boston, USA
Zhengming Ding (Indiana University-Purdue University Indianapolis, USA
Jana Doppa (Washington State University, USA
Finale Doshi-Velez (Harvard University, USA
Bo Du (Wuhan University, China
Nan Du (Google Brain, USA
Edmund Durfee (University of Michigan, USA
Stefan Edelkamp (King’s College London, UK
Ulle Endriss (University of Amsterdam, Netherlands
Esra Erdem (Sabanci University, Turkey
Boi Faltings (EPFL, Switzerland
Fei Fang (Carnegie Mellon University, USA
Ariel Felner (Ben-Gurion University, Israel
Jiashi Feng (National University of Singapore, Singapore
Carlos Ferreira (INESC TEC, Portugal
Ken Forbus (Northwestern University, USA
Alfredo Gabaldon (GE Global Research, USA
Kobi Gal (Ben-Gurion University, Israel
Wei Gao (Nanjing University, China
Wei Gao (Victoria University of Wellington, New Zealand
Roman Garnett (Washington University in St. Louis, USA
Nicola Gatti (Politecnico di Milano, Italy
Xin Geng (Southeast University, China
Alfonso Gerevini (University of Brescia, Italy
Maria Gini (University of Minnesota, USA
Dan Goldwasser (Purdue University, USA
Carla Gomes (Cornell University, USA
Mingming Gong (University of Pittsburgh / Carnegie Mellon University, USA
Tias Guns (Vrije Universiteit Brussel, Belgium
Jiafeng Guo (Institute of Computing Technology, Chinese Academy of Sciences, China
Xiaoxiao Guo (IBM Research, USA
Jiawei Han (University of Illinois at Urbana-Champaign, USA
Junwei Han (Northwestern Polytechnical University, China
Daniel Harabor (Monash University, Australia
Paul Harrenstein (University of Oxford, UK
Emma Hart (Edinburgh Napier University, Scotland
Kohei Hatano (Kyushu University / RIKEN, Japan
Noam Hazon (Ariel University, Israel
Dongxiao He (Tianjin University, China
Nidhi Hegde (Borealis AI, Canada
Joerg Hoffmann (Saarland University, Germany
Robert Holte (University of Alberta, Canada
Qinghua Hu (Tianjin University, China
Xia Hu (Texas A&M University, USA
Xiaolin Hu (Tsinghua University, China
Heng Huang (University of Pittsburgh / JD Digits, USA
Kaizhu Huang (Xi’an Jiaotong-Liverpool University, China
Minlie Huang
Xuanjing Huang (Fudan University, China
Hiaso Ishibuchi (Southern University of Science and Technology, China
